Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0105A","Dublin Coleraine Street","SPO.IE.IE0105ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2010","11.779","ug/m3","97.81","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO.IE.IE0106ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2010","9.958","ug/m3","98.36","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2010","11.756","ug/m3","93.97","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","11.740","ug/m3","98.36","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0142A","Longford Town Dublin Road Railway","SPO.IE.IE0142ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","8.863","ug/m3","81.64","","Traffic","suburban","-7.7914","53.7256","49.5","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0137A","Clare Ennis Simms Lane","SPO.IE.IE0137ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","13.649","ug/m3","96.71","","Background","suburban","-8.5919","52.5035","65.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0145A","Mayo Claremorris","SPO.IE.IE0145ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","5.846","ug/m3","68.22","","Background","rural","-9.0127","53.7039","45.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0105A","Dublin Coleraine Street","SPO.IE.IE0105ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","11.212","ug/m3","95.34","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO.IE.IE0106ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","8.950","ug/m3","93.15","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","12.194","ug/m3","49.04","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
